Province_Name,District_Name,Crop_Year,Season,Crop,Area,Yield
North Central,Anuradhapura,2000,Maha,Maize,51,133
Central,Matale,2000,Yala,Rice,55041,171563
Uva,Monaragala,2000,Maha,Maize,273,1470
Southern,Matara,2000,Maha,Rice,132867,367510
Southern,Matara,2000,Yala,Banana,567,8154
Northern,Mannar,2001,Maha,Maize,98,262
Northern,Mullaitivu,2001,Yala,Rice,34297,108413
Eastern,Trincomalee,2001,Maha,Rice,176106,597352
Central,Kandy,2001,Maha,Banana,479,8030
Southern,Matara,2002,Maha,Maize,2,2
Southern,Matara,2002,Maha,Rice,45511,149276
Eastern,Batticaloa,2002,Yala,Maize,65,450
Southern,Galle,2002,Yala,Rice,173384,522579
Uva,Badulla,2002,Yala,Banana,521,10099
Central,Nuwara Eliya,2002,Yala,Brinjal,490,6471
Western,Gampaha,2002,Yala,Mango,9804,33578
Southern,Matara,2002,Yala,Papaya,8,1044
Northern,Vavuniya,2002,Yala,Tomato,154,1108
Uva,Badulla,2003,Yala,Maize,17,29
Southern,Galle,2003,Yala,Rice,17885,49756
Uva,Monaragala,2003,Maha,Maize,6,34
Sabaragamuwa,Ratnapura,2003,Yala,Rice,137031,364368
Western,Colombo,2003,Maha,Banana,485,4699
North Western,Kurunegala,2003,Yala,Brinjal,386,7337
Northern,Mullaitivu,2003,Maha,Mango,9930,59308
Northern,Vavuniya,2003,Yala,Papaya,8,726
Central,Kandy,2003,Maha,Tomato,87,835
Uva,Badulla,2004,Yala,Maize,55,162
Eastern,Ampara,2004,Yala,Rice,19326,56432
Northern,Kilinochchi,2004,Yala,Maize,10,72
Uva,Badulla,2004,Maha,Rice,167421,576933
Uva,Badulla,2004,Yala,Banana,458,8480
North Central,Polonnaruwa,2005,Maha,Maize,56,200
North Central,Anuradhapura,2005,Maha,Rice,18036,55190
North Western,Kurunegala,2005,Maha,Maize,24,179
Sabaragamuwa,Kegalle,2005,Yala,Rice,189671,713732
North Western,Puttalam,2005,Maha,Banana,470,7887
Southern,Matara,2006,Maha,Maize,28,77
Eastern,Trincomalee,2006,Maha,Rice,60057,197167
Southern,Matara,2006,Maha,Maize,128,970
Southern,Galle,2006,Maha,Rice,181863,659617
Central,Kandy,2006,Maha,Banana,667,13271
Southern,Galle,2007,Maha,Rice,46000,162000
North Western,Puttalam,2007,Maha,Rice,188000,695000
Northern,Mullaitivu,2008,Maha,Maize,128,412
Northern,Vavuniya,2008,Yala,Rice,65233,233795
North Central,Anuradhapura,2008,Maha,Maize,544,4804
Eastern,Trincomalee,2008,Maha,Rice,191854,763003
Eastern,Ampara,2008,Maha,Banana,860,17733
Central,Nuwara Eliya,2009,Maha,Maize,177,639
North Western,Kurunegala,2009,Yala,Rice,67894,220248
North Central,Anuradhapura,2009,Yala,Maize,647,4730
Eastern,Ampara,2009,Yala,Rice,198993,783833
Northern,Vavuniya,2009,Maha,Banana,1196,27534
Southern,Galle,2010,Yala,Maize,53,158
Southern,Galle,2010,Yala,Rice,69873,228485
North Central,Anuradhapura,2010,Maha,Maize,507,4622
North Western,Kurunegala,2010,Maha,Rice,200990,777027
North Western,Puttalam,2010,Maha,Banana,1278,32579
Sabaragamuwa,Ratnapura,2011,Maha,Maize,207,764
Western,Colombo,2011,Yala,Rice,53137,195269
Eastern,Batticaloa,2011,Maha,Maize,1219,9458
North Western,Kurunegala,2011,Maha,Rice,201435,836157
Northern,Mullaitivu,2011,Yala,Banana,1177,18284
North Central,Anuradhapura,2012,Yala,Brinjal,245,2535
Sabaragamuwa,Ratnapura,2012,Maha,Maize,163,638
Uva,Monaragala,2012,Yala,Mango,9458,74756
Central,Matale,2012,Maha,Papaya,12,1307
Uva,Badulla,2012,Maha,Rice,53866,214710
Southern,Matara,2012,Maha,Tomato,28,611
Central,Nuwara Eliya,2012,Maha,Brinjal,403,4169
Eastern,Ampara,2012,Maha,Maize,1274,9028
Northern,Vavuniya,2012,Yala,Rice,197403,811721
Central,Matale,2012,Yala,Tomato,22,214
Western,Colombo,2013,Yala,Brinjal,237,1529
Uva,Monaragala,2013,Yala,Maize,286,907
Eastern,Ampara,2013,Yala,Mango,8577,72561
Western,Kalutara,2013,Maha,Papaya,105,8713
Southern,Galle,2013,Maha,Rice,32241,115455
Western,Gampaha,2013,Maha,Tomato,9,161
Sabaragamuwa,Kegalle,2013,Yala,Brinjal,352,2270
Sabaragamuwa,Ratnapura,2013,Yala,Maize,1631,12157
North Central,Polonnaruwa,2013,Yala,Rice,192652,795653
Eastern,Ampara,2013,Yala,Tomato,13,147
Southern,Galle,2013,Maha,Banana,816,25764
North Western,Puttalam,2014,Maha,Brinjal,223,2142
Sabaragamuwa,Kegalle,2014,Yala,Maize,132,437
Eastern,Batticaloa,2014,Yala,Mango,9206,81823
North Western,Kurunegala,2014,Maha,Papaya,252,19839
North Central,Polonnaruwa,2014,Yala,Rice,62232,232561
Western,Colombo,2014,Maha,Tomato,26,374
Sabaragamuwa,Ratnapura,2014,Yala,Brinjal,258,2478
Eastern,Trincomalee,2014,Yala,Maize,691,5547
Central,Kandy,2014,Yala,Rice,178491,736454
North Western,Puttalam,2014,Yala,Tomato,41,556
Western,Gampaha,2014,Yala,Rice,240723,969015
Sabaragamuwa,Ratnapura,1997,Yala,Maize,200,400
Southern,Matara,1997,Maha,Rice,185700,278500
North Western,Kurunegala,1997,Maha,Maize,100,200
Sabaragamuwa,Ratnapura,1997,Yala,Rice,600,2100
North Western,Kurunegala,1998,Yala,Maize,300,500
Western,Gampaha,1998,Maha,Rice,194400,370700
Sabaragamuwa,Kegalle,1998,Maha,Rice,2000,7500
Uva,Monaragala,1999,Maha,Maize,302,858
Eastern,Batticaloa,1999,Yala,Rice,189027,323525
Western,Colombo,1999,Yala,Maize,18,87
North Western,Puttalam,1999,Maha,Rice,1703,5867
Southern,Matara,2000,Yala,Maize,242,630
Central,Kandy,2000,Maha,Rice,207461,399155
North Western,Kurunegala,2000,Yala,Maize,11,59
Eastern,Ampara,2000,Maha,Rice,1100,2012
Sabaragamuwa,Kegalle,2000,Yala,Banana,1226,17335
Central,Kandy,2001,Maha,Maize,311,831
Northern,Jaffna,2001,Maha,Rice,178771,393654
North Western,Kurunegala,2001,Yala,Maize,146,945
North Central,Polonnaruwa,2001,Maha,Rice,1584,3594
Northern,Vavuniya,2001,Maha,Banana,1132,14223
North Western,Puttalam,2002,Maha,Maize,400,388
Uva,Monaragala,2002,Maha,Rice,153148,267550
North Central,Polonnaruwa,2002,Yala,Maize,500,3458
Central,Kandy,2002,Maha,Rice,632,1602
Southern,Matara,2002,Yala,Banana,765,14829
Uva,Badulla,2002,Maha,Brinjal,754,9504
Northern,Mullaitivu,2002,Maha,Cabbage,242,0
Sabaragamuwa,Ratnapura,2002,Yala,Mango,8466,11763
Eastern,Ampara,2002,Maha,Tomato,345,2367
Southern,Hambantota,2003,Yala,Maize,1149,1972
Uva,Badulla,2003,Maha,Rice,188219,421799
Sabaragamuwa,Ratnapura,2003,Maha,Maize,895,5012
Sabaragamuwa,Ratnapura,2003,Maha,Rice,2204,4496
North Western,Kurunegala,2003,Maha,Banana,535,3003
Uva,Badulla,2003,Yala,Brinjal,909,27255
Central,Kandy,2003,Maha,Cabbage,274,0
North Central,Polonnaruwa,2003,Maha,Mango,8433,37754
North Central,Polonnaruwa,2003,Maha,Tomato,344,3331
Northern,Jaffna,2004,Maha,Maize,1114,3291
Northern,Jaffna,2004,Yala,Rice,190795,448561
North Central,Polonnaruwa,2004,Maha,Maize,747,5400
Central,Kandy,2004,Yala,Rice,2198,5743
Eastern,Ampara,2004,Maha,Banana,1365,17524
Western,Colombo,2005,Yala,Maize,1382,4945
Eastern,Batticaloa,2005,Maha,Rice,153521,271425
North Western,Puttalam,2005,Yala,Maize,1076,8039
Western,Colombo,2005,Maha,Rice,4237,10105
Western,Colombo,2005,Yala,Banana,1174,19700
Uva,Badulla,2006,Yala,Maize,1857,5092
Central,Kandy,2006,Maha,Rice,193994,491775
Central,Kandy,2006,Maha,Maize,1155,8751
Western,Colombo,2006,Maha,Rice,3425,7223
Uva,Monaragala,2006,Yala,Banana,2131,42401
Western,Colombo,2007,Yala,Maize,2000,7000
Southern,Matara,2007,Maha,Rice,201000,613000
Northern,Vavuniya,2007,Yala,Maize,1000,11000
Northern,Kilinochchi,2007,Maha,Rice,2000,6000
Eastern,Ampara,2008,Yala,Maize,1657,5331
North Western,Puttalam,2008,Maha,Rice,203172,408376
Northern,Kilinochchi,2008,Yala,Maize,1726,15241
Sabaragamuwa,Ratnapura,2008,Maha,Rice,2667,6190
Eastern,Batticaloa,2008,Yala,Banana,1977,40766
Northern,Kilinochchi,2009,Maha,Maize,2207,7963
North Western,Puttalam,2009,Yala,Rice,177058,371822
Central,Matale,2009,Maha,Maize,2800,20468
Central,Nuwara Eliya,2009,Yala,Rice,2708,6407
Western,Colombo,2009,Maha,Banana,1404,32323
Southern,Matara,2010,Maha,Maize,2824,8421
Central,Nuwara Eliya,2010,Yala,Rice,205853,167482
Uva,Badulla,2010,Maha,Maize,4565,41619
Northern,Vavuniya,2010,Yala,Rice,7098,16822
Uva,Badulla,2010,Maha,Banana,853,21745
North Western,Puttalam,2011,Yala,Maize,6097,22498
Central,Kandy,2011,Maha,Rice,208239,399240
Southern,Galle,2011,Yala,Maize,5320,41278
North Western,Puttalam,2011,Maha,Rice,2178,4593
Sabaragamuwa,Ratnapura,2011,Maha,Banana,2039,54319
Sabaragamuwa,Kegalle,2012,Yala,Brinjal,446,4614
Uva,Badulla,2012,Yala,Cabbage,187,2789
Western,Colombo,2012,Maha,Maize,5875,23007
Eastern,Ampara,2012,Maha,Mango,8705,115045
Western,Colombo,2012,Yala,Papaya,45,4902
Western,Gampaha,2012,Yala,Rice,205859,520823
Southern,Hambantota,2012,Yala,Tomato,176,3842
Central,Matale,2012,Maha,Brinjal,358,3704
Southern,Matara,2012,Yala,Cabbage,196,2924
North Western,Kurunegala,2012,Yala,Maize,4371,30973
Sabaragamuwa,Ratnapura,2012,Yala,Rice,2884,7870
Southern,Hambantota,2012,Maha,Tomato,310,3019
North Western,Kurunegala,2013,Yala,Brinjal,469,3025
Southern,Hambantota,2013,Yala,Cabbage,180,1801
Western,Colombo,2013,Yala,Maize,5752,18234
Northern,Vavuniya,2013,Yala,Mango,8166,57047
Uva,Monaragala,2013,Maha,Papaya,45,4405
Eastern,Trincomalee,2013,Maha,Rice,199717,347108
Southern,Galle,2013,Yala,Tomato,203,3629
Eastern,Trincomalee,2013,Yala,Brinjal,431,2780
North Central,Polonnaruwa,2013,Maha,Cabbage,227,2272
Southern,Galle,2013,Maha,Maize,4985,37158
Northern,Vavuniya,2013,Maha,Rice,3425,8158
Eastern,Batticaloa,2013,Maha,Tomato,426,4816
Southern,Matara,2013,Maha,Banana,2422,47549
Central,Matale,2014,Maha,Brinjal,537,5158
Uva,Monaragala,2014,Yala,Cabbage,137,1043
Northern,Mullaitivu,2014,Yala,Maize,9103,36330
Eastern,Batticaloa,2014,Yala,Mango,8252,57731
Northern,Mullaitivu,2014,Yala,Papaya,51,4015
North Western,Kurunegala,2014,Maha,Rice,205485,434806
Uva,Monaragala,2014,Yala,Tomato,258,3709
Southern,Galle,2014,Maha,Brinjal,355,3410
Southern,Galle,2014,Maha,Cabbage,170,1294
Southern,Hambantota,2014,Maha,Maize,5771,46324
Uva,Monaragala,2014,Yala,Rice,4730,12866
Central,Nuwara Eliya,2014,Maha,Tomato,474,6422
North Central,Polonnaruwa,2014,Yala,Rice,210215,447672
Sabaragamuwa,Kegalle,1997,Maha,Maize,6400,6500
Western,Kalutara,1997,Yala,Rice,95600,79700
Eastern,Trincomalee,1997,Maha,Maize,300,1100
Central,Matale,1997,Yala,Rice,2700,8700
Eastern,Ampara,1998,Maha,Maize,6400,8600
Southern,Matara,1998,Maha,Rice,114900,141300
Northern,Jaffna,1998,Yala,Maize,300,1400
Eastern,Trincomalee,1998,Maha,Rice,3800,14100
Southern,Hambantota,1999,Yala,Maize,6419,9134
Eastern,Trincomalee,1999,Yala,Rice,103372,134010
Northern,Jaffna,1999,Maha,Maize,606,2934
Southern,Hambantota,1999,Yala,Rice,3053,10836
North Central,Anuradhapura,2000,Yala,Maize,6704,6979
Central,Matale,2000,Yala,Rice,115239,183345
North Western,Puttalam,2000,Maha,Maize,901,4851
Western,Colombo,2000,Maha,Rice,2969,6683
Uva,Monaragala,2000,Yala,Banana,2747,50705
Western,Gampaha,2001,Yala,Maize,6879,7567
Western,Gampaha,2001,Maha,Rice,86579,145020
Southern,Galle,2001,Maha,Maize,1098,7107
North Central,Anuradhapura,2001,Yala,Rice,3744,7589
North Western,Kurunegala,2001,Maha,Banana,2431,18798
Central,Matale,2002,Yala,Maize,6976,12843
Central,Nuwara Eliya,2002,Yala,Rice,61964,61344
Northern,Jaffna,2002,Maha,Maize,918,6362
Uva,Monaragala,2002,Yala,Rice,2028,3121
Eastern,Batticaloa,2002,Yala,Banana,1594,27219
North Central,Polonnaruwa,2002,Maha,Brinjal,1327,13012
Eastern,Batticaloa,2002,Maha,Cabbage,75,0
North Western,Kurunegala,2002,Maha,Mango,16015,87942
Western,Kalutara,2002,Yala,Tomato,1294,11808
Central,Nuwara Eliya,2003,Maha,Maize,6910,12445
North Western,Puttalam,2003,Yala,Rice,84676,136836
Western,Kalutara,2003,Yala,Maize,1413,7913
Central,Matale,2003,Yala,Rice,3961,7811
Western,Kalutara,2003,Yala,Banana,1452,17908
Uva,Monaragala,2003,Maha,Brinjal,1615,20084
North Central,Polonnaruwa,2003,Maha,Cabbage,76,0
North Western,Puttalam,2003,Yala,Mango,15708,38840
North Western,Puttalam,2003,Yala,Tomato,1552,14964
Sabaragamuwa,Kegalle,2004,Maha,Maize,6766,11773
Southern,Matara,2004,Yala,Rice,95187,160771
Uva,Badulla,2004,Yala,Maize,1452,10497
Uva,Monaragala,2004,Yala,Rice,2621,3701
Eastern,Trincomalee,2004,Yala,Banana,1508,32706
Western,Colombo,2005,Yala,Maize,6834,12554
Southern,Galle,2005,Maha,Rice,84808,125007
North Central,Polonnaruwa,2005,Maha,Maize,1343,10034
North Central,Anuradhapura,2005,Maha,Rice,3821,7073
Uva,Monaragala,2005,Maha,Banana,1484,21692
North Central,Anuradhapura,2006,Yala,Maize,7042,9253
Sabaragamuwa,Ratnapura,2006,Maha,Rice,93133,178070
North Western,Puttalam,2006,Yala,Maize,1474,11168
Northern,Mullaitivu,2006,Yala,Rice,2614,5301
Eastern,Ampara,2006,Maha,Banana,1609,12177
Western,Gampaha,2007,Maha,Maize,7000,9000
Western,Kalutara,2007,Yala,Rice,96000,195000
Central,Matale,2007,Maha,Maize,1000,11000
Northern,Jaffna,2007,Yala,Rice,3000,6000
Uva,Monaragala,2008,Yala,Maize,6321,9014
Sabaragamuwa,Kegalle,2008,Yala,Rice,99378,167253
North Western,Kurunegala,2008,Maha,Maize,1414,12486
North Western,Puttalam,2008,Yala,Rice,2679,5090
Sabaragamuwa,Kegalle,2008,Maha,Banana,1271,13108
Southern,Matara,2009,Maha,Maize,5913,12926
Central,Kandy,2009,Maha,Rice,65447,69112
Western,Gampaha,2009,Yala,Maize,1258,9196
Northern,Kilinochchi,2009,Yala,Rice,2974,4509
North Central,Polonnaruwa,2009,Yala,Banana,1005,29626
Central,Nuwara Eliya,2010,Maha,Maize,5749,9227
Northern,Jaffna,2010,Yala,Rice,110289,192378
Eastern,Ampara,2010,Yala,Maize,1021,9308
Eastern,Trincomalee,2010,Maha,Rice,7262,9383
Central,Nuwara Eliya,2010,Yala,Banana,1182,18459
Uva,Monaragala,2011,Yala,Maize,6359,25112
Northern,Mullaitivu,2011,Maha,Rice,109505,166766
Northern,Jaffna,2011,Yala,Maize,1126,8737
Sabaragamuwa,Kegalle,2011,Yala,Rice,2617,2973
Uva,Monaragala,2011,Yala,Banana,1355,22833
Western,Colombo,2012,Yala,Brinjal,986,8319
Western,Colombo,2012,Yala,Cabbage,191,5029
North Central,Polonnaruwa,2012,Maha,Maize,5837,12830
North Western,Kurunegala,2012,Yala,Mango,12751,127051
Eastern,Trincomalee,2012,Yala,Papaya,95,10349
Western,Kalutara,2012,Yala,Rice,98718,141562
Uva,Monaragala,2012,Yala,Tomato,555,12116
Northern,Mannar,2012,Yala,Brinjal,633,5341
Western,Colombo,2012,Yala,Cabbage,66,1738
Northern,Mullaitivu,2012,Maha,Maize,1126,7979
Western,Colombo,2012,Maha,Rice,5046,10274
Eastern,Batticaloa,2012,Maha,Tomato,793,5833
Western,Gampaha,2013,Yala,Brinjal,852,5384
Uva,Monaragala,2013,Yala,Cabbage,180,3379
Western,Kalutara,2013,Yala,Maize,5988,7820
North Western,Kurunegala,2013,Maha,Mango,13390,153771
Eastern,Trincomalee,2013,Maha,Papaya,98,9594
Uva,Badulla,2013,Maha,Rice,98637,171530
Sabaragamuwa,Kegalle,2013,Maha,Tomato,592,10584
Uva,Monaragala,2013,Maha,Brinjal,635,4013
North Western,Kurunegala,2013,Yala,Cabbage,97,1821
Eastern,Batticaloa,2013,Maha,Maize,1248,9303
Sabaragamuwa,Kegalle,2013,Maha,Rice,6759,13126
North Western,Kurunegala,2013,Maha,Tomato,937,8857
North Western,Puttalam,2013,Maha,Banana,1409,27661
Central,Matale,2014,Maha,Brinjal,964,4619
Eastern,Ampara,2014,Yala,Cabbage,143,120
Uva,Monaragala,2014,Yala,Maize,5894,9224
Northern,Vavuniya,2014,Maha,Mango,13528,37229
Northern,Jaffna,2014,Yala,Papaya,91,7164
Uva,Badulla,2014,Maha,Rice,98190,159755
Uva,Monaragala,2014,Yala,Tomato,507,7289
Eastern,Batticaloa,2014,Maha,Brinjal,737,3531
Uva,Monaragala,2014,Maha,Cabbage,88,74
Central,Matale,2014,Maha,Maize,1297,10411
Sabaragamuwa,Ratnapura,2014,Yala,Rice,7238,18052
Uva,Monaragala,2014,Maha,Tomato,975,13210
Northern,Vavuniya,2014,Yala,Rice,105428,177807
Uva,Monaragala,1997,Maha,Maize,500,800
Central,Nuwara Eliya,1997,Maha,Rice,130500,185600
Western,Kalutara,1997,Yala,Maize,1800,6800
Western,Colombo,1997,Maha,Rice,1000,3200
North Western,Kurunegala,1998,Yala,Maize,800,1700
North Central,Anuradhapura,1998,Maha,Rice,133000,295600
Sabaragamuwa,Kegalle,1998,Yala,Maize,1600,7900
Southern,Matara,1998,Yala,Rice,3600,13300
North Western,Kurunegala,1999,Maha,Maize,908,2580
Western,Gampaha,1999,Maha,Rice,132185,250846
Northern,Mullaitivu,1999,Maha,Maize,2217,10732
Southern,Galle,1999,Maha,Rice,1985,6943
North Western,Puttalam,2000,Yala,Maize,1475,3841
Southern,Galle,2000,Yala,Rice,129907,214347
Eastern,Batticaloa,2000,Yala,Maize,1810,9745
North Central,Anuradhapura,2000,Yala,Rice,2163,5996
Eastern,Batticaloa,2000,Yala,Banana,5985,59183
Southern,Hambantota,2001,Maha,Maize,1311,3504
Eastern,Batticaloa,2001,Maha,Rice,106296,199624
Central,Kandy,2001,Yala,Maize,3302,21374
Western,Colombo,2001,Maha,Rice,3864,10085
Central,Nuwara Eliya,2001,Yala,Banana,6173,77495
Uva,Monaragala,2002,Yala,Maize,1990,1928
Eastern,Trincomalee,2002,Maha,Rice,93995,115426
Uva,Badulla,2002,Yala,Maize,2817,19522
Northern,Kilinochchi,2002,Maha,Rice,594,1558
Sabaragamuwa,Kegalle,2002,Maha,Banana,4684,97277
Northern,Vavuniya,2002,Yala,Brinjal,1167,17197
Southern,Matara,2002,Yala,Cabbage,147,0
Western,Kalutara,2002,Yala,Mango,34738,60502
Eastern,Trincomalee,2002,Maha,Papaya,8,1044
North Western,Kurunegala,2002,Yala,Tomato,605,4127
Sabaragamuwa,Kegalle,2003,Yala,Maize,4318,7410
North Central,Polonnaruwa,2003,Maha,Rice,108694,228366
North Central,Anuradhapura,2003,Maha,Maize,7265,35591
North Central,Polonnaruwa,2003,Maha,Rice,4382,10679
Eastern,Trincomalee,2003,Maha,Banana,4645,106645
North Central,Polonnaruwa,2003,Maha,Brinjal,1195,19804
Central,Nuwara Eliya,2003,Maha,Cabbage,139,0
Sabaragamuwa,Ratnapura,2003,Yala,Mango,35162,78804
Central,Matale,2003,Maha,Papaya,2,182
Sabaragamuwa,Kegalle,2003,Maha,Tomato,553,5329
Central,Matale,2004,Yala,Maize,3796,17712
Sabaragamuwa,Ratnapura,2004,Maha,Rice,125205,291352
Uva,Badulla,2004,Yala,Maize,4844,18228
Eastern,Batticaloa,2004,Yala,Rice,2370,3979
Eastern,Batticaloa,2004,Yala,Banana,5591,136806
North Central,Anuradhapura,2005,Yala,Maize,3609,14970
Northern,Kilinochchi,2005,Maha,Rice,94336,131127
North Central,Anuradhapura,2005,Maha,Maize,5692,22580
Southern,Galle,2005,Maha,Rice,3750,9529
Central,Nuwara Eliya,2005,Maha,Banana,5246,127446
Sabaragamuwa,Kegalle,2006,Maha,Maize,2920,8903
Northern,Kilinochchi,2006,Yala,Rice,117452,281532
Southern,Galle,2006,Maha,Maize,8671,32100
Eastern,Ampara,2006,Maha,Rice,1000,1803
Eastern,Batticaloa,2006,Maha,Banana,5137,103233
North Central,Anuradhapura,2007,Maha,Maize,4000,15000
Central,Nuwara Eliya,2007,Yala,Rice,124000,362000
Northern,Mannar,2007,Yala,Maize,7000,30000
Western,Kalutara,2007,Yala,Rice,3000,7000
Southern,Galle,2008,Yala,Maize,7861,21964
Southern,Matara,2008,Yala,Rice,128964,307966
North Central,Polonnaruwa,2008,Yala,Maize,7789,33765
Eastern,Ampara,2008,Yala,Rice,1695,4043
North Central,Polonnaruwa,2008,Maha,Banana,7735,135293
Sabaragamuwa,Ratnapura,2009,Maha,Maize,7618,29428
Northern,Mullaitivu,2009,Maha,Rice,104550,229801
Central,Matale,2009,Yala,Maize,9471,34010
Uva,Badulla,2009,Maha,Rice,3683,9285
North Western,Puttalam,2009,Maha,Banana,7755,145608
North Western,Kurunegala,2010,Yala,Maize,8265,22373
North Central,Polonnaruwa,2010,Maha,Rice,126290,325213
Sabaragamuwa,Ratnapura,2010,Maha,Maize,10721,46433
Northern,Mullaitivu,2010,Yala,Rice,7254,23452
Western,Kalutara,2010,Yala,Banana,7835,167277
North Western,Kurunegala,2011,Yala,Maize,10420,28176
Northern,Mannar,2011,Maha,Rice,123491,265106
Central,Nuwara Eliya,2011,Yala,Maize,10199,63448
Sabaragamuwa,Ratnapura,2011,Maha,Rice,1078,2639
Eastern,Ampara,2011,Maha,Banana,7433,133645
Northern,Mullaitivu,2012,Maha,Brinjal,673,5092
Central,Nuwara Eliya,2012,Maha,Cabbage,101,2659
Western,Kalutara,2012,Maha,Maize,9861,39267
Uva,Monaragala,2012,Maha,Mango,36067,100555
Eastern,Trincomalee,2012,Yala,Papaya,262,28540
Uva,Monaragala,2012,Maha,Rice,119079,306509
Western,Gampaha,2012,Maha,Tomato,353,7706
Central,Matale,2012,Maha,Brinjal,313,2368
North Western,Puttalam,2012,Yala,Cabbage,87,2291
Uva,Badulla,2012,Maha,Maize,11245,55359
Eastern,Ampara,2012,Yala,Rice,6690,14310
North Central,Anuradhapura,2012,Yala,Tomato,505,4918
Southern,Galle,2013,Yala,Brinjal,599,3864
Northern,Mannar,2013,Maha,Cabbage,109,2046
North Western,Puttalam,2013,Maha,Maize,13410,40418
Uva,Monaragala,2013,Yala,Mango,38639,120554
Northern,Jaffna,2013,Yala,Papaya,425,41606
North Central,Polonnaruwa,2013,Yala,Rice,109271,270446
Western,Kalutara,2013,Yala,Tomato,358,6400
Southern,Hambantota,2013,Maha,Brinjal,343,2212
Central,Kandy,2013,Yala,Cabbage,56,1051
North Central,Anuradhapura,2013,Maha,Maize,15255,86130
North Central,Anuradhapura,2013,Yala,Rice,7507,20479
Western,Gampaha,2013,Yala,Tomato,496,5607
Sabaragamuwa,Ratnapura,2013,Maha,Banana,7124,77367
Western,Kalutara,2014,Yala,Brinjal,433,4159
Sabaragamuwa,Ratnapura,2014,Yala,Cabbage,74,912
Sabaragamuwa,Kegalle,2014,Maha,Maize,16616,47705
North Western,Kurunegala,2014,Maha,Mango,38767,131536
North Western,Puttalam,2014,Maha,Papaya,457,46922
Eastern,Ampara,2014,Yala,Rice,119229,314526
Uva,Monaragala,2014,Maha,Tomato,341,4903
Uva,Monaragala,2014,Maha,Brinjal,409,3928
Central,Kandy,2014,Maha,Cabbage,81,998
Uva,Monaragala,2014,Yala,Maize,14358,110241
North Western,Kurunegala,2014,Maha,Papaya,127,13039
Eastern,Batticaloa,2014,Yala,Rice,5357,17314
Eastern,Batticaloa,2014,Maha,Tomato,550,7452
Sabaragamuwa,Kegalle,2014,Yala,Rice,124586,331840
Western,Kalutara,1997,Yala,Maize,800,1400
Central,Kandy,1997,Maha,Rice,247200,630400
Sabaragamuwa,Ratnapura,1997,Yala,Maize,8900,33600
Western,Gampaha,1997,Maha,Rice,193600,678100
Uva,Badulla,1998,Yala,Maize,500,1100
Sabaragamuwa,Ratnapura,1998,Yala,Rice,262000,646400
Northern,Kilinochchi,1998,Yala,Maize,9200,45800
Uva,Monaragala,1998,Yala,Rice,194300,849100
Western,Kalutara,1999,Yala,Maize,927,2634
Central,Nuwara Eliya,1999,Yala,Rice,267083,685440
Western,Kalutara,1999,Maha,Maize,10974,53125
Sabaragamuwa,Kegalle,1999,Maha,Rice,193377,780930
Sabaragamuwa,Ratnapura,2000,Maha,Maize,2332,6073
North Central,Anuradhapura,2000,Yala,Rice,272901,794415
Central,Kandy,2000,Yala,Maize,16357,88066
Uva,Monaragala,2000,Maha,Rice,198764,858462
Eastern,Trincomalee,2000,Yala,Banana,8081,116102
Central,Matale,2001,Maha,Maize,845,2259
Eastern,Batticaloa,2001,Maha,Rice,222720,576622
Central,Nuwara Eliya,2001,Maha,Maize,12639,81698
Central,Nuwara Eliya,2001,Yala,Rice,191480,896509
Western,Colombo,2001,Maha,Banana,8264,99790
Central,Matale,2002,Yala,Maize,1457,1412
North Central,Polonnaruwa,2002,Maha,Rice,214554,659110
Sabaragamuwa,Kegalle,2002,Yala,Maize,16683,119534
Southern,Matara,2002,Yala,Rice,117074,506579
Eastern,Batticaloa,2002,Maha,Banana,5547,123149
Sabaragamuwa,Kegalle,2002,Yala,Brinjal,1258,16639
Southern,Hambantota,2002,Yala,Cabbage,36,0
Eastern,Trincomalee,2002,Maha,Mango,20000,93638
Eastern,Batticaloa,2002,Maha,Papaya,15,1957
Southern,Galle,2002,Maha,Tomato,317,2381
Central,Nuwara Eliya,2003,Yala,Maize,3124,5361
Uva,Badulla,2003,Maha,Rice,232235,812590
Northern,Mullaitivu,2003,Yala,Maize,24694,142855
Sabaragamuwa,Kegalle,2003,Maha,Rice,177983,867133
Western,Kalutara,2003,Maha,Banana,5712,24247
Sabaragamuwa,Ratnapura,2003,Maha,Brinjal,1224,15643
Western,Kalutara,2003,Maha,Cabbage,24,0
Southern,Hambantota,2003,Yala,Mango,19342,66887
Western,Kalutara,2003,Yala,Papaya,23,2089
Eastern,Trincomalee,2003,Yala,Tomato,310,3058
Uva,Monaragala,2004,Maha,Maize,2148,6345
Uva,Monaragala,2004,Yala,Rice,244235,842122
Eastern,Batticaloa,2004,Yala,Maize,21512,134988
North Central,Anuradhapura,2004,Yala,Rice,175761,807446
Southern,Galle,2004,Yala,Banana,6051,156479
North Central,Polonnaruwa,2005,Yala,Maize,3560,12738
North Central,Anuradhapura,2005,Maha,Rice,253521,475859
Sabaragamuwa,Kegalle,2005,Yala,Maize,25564,150904
Sabaragamuwa,Kegalle,2005,Yala,Rice,192497,887411
Northern,Mannar,2005,Maha,Banana,8130,76707
Western,Colombo,2006,Yala,Maize,2985,8185
Eastern,Trincomalee,2006,Maha,Rice,245236,682001
